Rendering image..........................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=4i,mem.alloc=524748304i,mem.frees=63i,mem.gc.count=0i,mem.gc.cpu_fraction=0,mem.gc.last=0i,mem.gc.next=4194304i,mem.gc.pause=0i,mem.gc.pause_total=0i,mem.gc.sys=21195832i,mem.heap.alloc=524748304i,mem.heap.idle=2883584i,mem.heap.inuse=525238272i,mem.heap.objects=1267i,mem.heap.released=2883584i,mem.heap.sys=528121856i,mem.lookups=0i,mem.malloc=1330i,mem.othersys=618818i,mem.stack.inuse=360448i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=11968i,mem.stack.mspan_sys=32640i,mem.stack.sys=360448i,mem.sys=551789960i,mem.total=524748304i 1660162810439275036]
...................................................................................................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=7545i,mem.alloc=575538552i,mem.frees=8670914i,mem.gc.count=1i,mem.gc.cpu_fraction=0.023670502455192977,mem.gc.last=1660162810439529122i,mem.gc.next=1049329776i,mem.gc.pause=11295i,mem.gc.pause_total=11295i,mem.gc.sys=22362584i,mem.heap.alloc=575538552i,mem.heap.idle=1826816i,mem.heap.inuse=576266240i,mem.heap.objects=2916624i,mem.heap.released=1826816i,mem.heap.sys=578093056i,mem.lookups=0i,mem.malloc=11587538i,mem.othersys=683986i,mem.stack.inuse=17465344i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=925888i,mem.stack.mspan_sys=930240i,mem.stack.sys=17465344i,mem.sys=620995976i,mem.total=575701408i 1660162920441708524]
....................................................................................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=7545i,mem.alloc=577324864i,mem.frees=9004262i,mem.gc.count=1i,mem.gc.cpu_fraction=0.023670502455192977,mem.gc.last=1660162810439529122i,mem.gc.next=1049329776i,mem.gc.pause=11295i,mem.gc.pause_total=11295i,mem.gc.sys=22362584i,mem.heap.alloc=577324864i,mem.heap.idle=49152i,mem.heap.inuse=578043904i,mem.heap.objects=3027776i,mem.heap.released=49152i,mem.heap.sys=578093056i,mem.lookups=0i,mem.malloc=12032038i,mem.othersys=651346i,mem.stack.inuse=17465344i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=960704i,mem.stack.mspan_sys=962880i,mem.stack.sys=17465344i,mem.sys=620995976i,mem.total=577487720i 1660162930441877615]
............................................................................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=7545i,mem.alloc=579117080i,mem.frees=9338631i,mem.gc.count=1i,mem.gc.cpu_fraction=0.023670502455192977,mem.gc.last=1660162810439529122i,mem.gc.next=1049329776i,mem.gc.pause=11295i,mem.gc.pause_total=11295i,mem.gc.sys=22434288i,mem.heap.alloc=579117080i,mem.heap.idle=2457600i,mem.heap.inuse=579829760i,mem.heap.objects=3139271i,mem.heap.released=2457600i,mem.heap.sys=582287360i,mem.lookups=0i,mem.malloc=12477902i,mem.othersys=612538i,mem.stack.inuse=17465344i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=986816i,mem.stack.mspan_sys=995520i,mem.stack.sys=17465344i,mem.sys=625255816i,mem.total=579279936i 1660162940453778481]
....................................................................................................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=7545i,mem.alloc=580894320i,mem.frees=9670169i,mem.gc.count=1i,mem.gc.cpu_fraction=0.023670502455192977,mem.gc.last=1660162810439529122i,mem.gc.next=1049329776i,mem.gc.pause=11295i,mem.gc.pause_total=11295i,mem.gc.sys=22444576i,mem.heap.alloc=580894320i,mem.heap.idle=671744i,mem.heap.inuse=581615616i,mem.heap.objects=3249822i,mem.heap.released=671744i,mem.heap.sys=582287360i,mem.lookups=0i,mem.malloc=12919991i,mem.othersys=831754i,mem.stack.inuse=17465344i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=1021632i,mem.stack.mspan_sys=1028160i,mem.stack.sys=17465344i,mem.sys=625517960i,mem.total=581057176i 1660162950450747025]
....................................................................................................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=7545i,mem.alloc=582665000i,mem.frees=10000530i,mem.gc.count=1i,mem.gc.cpu_fraction=0.023670502455192977,mem.gc.last=1660162810439529122i,mem.gc.next=1049329776i,mem.gc.pause=11295i,mem.gc.pause_total=11295i,mem.gc.sys=22444576i,mem.heap.alloc=582665000i,mem.heap.idle=3072000i,mem.heap.inuse=583409664i,mem.heap.objects=3359980i,mem.heap.released=3072000i,mem.heap.sys=586481664i,mem.lookups=0i,mem.malloc=13360510i,mem.othersys=799114i,mem.stack.inuse=17465344i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=1047744i,mem.stack.mspan_sys=1060800i,mem.stack.sys=17465344i,mem.sys=629712264i,mem.total=582827856i 1660162960466229452]
....................................................................................................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=14956i,mem.alloc=595782504i,mem.frees=11734625i,mem.gc.count=1i,mem.gc.cpu_fraction=0.023670502455192977,mem.gc.last=1660162810439529122i,mem.gc.next=1049329776i,mem.gc.pause=11295i,mem.gc.pause_total=11295i,mem.gc.sys=24831656i,mem.heap.alloc=595782504i,mem.heap.idle=1064960i,mem.heap.inuse=596623360i,mem.heap.objects=3960147i,mem.heap.released=1064960i,mem.heap.sys=597688320i,mem.lookups=0i,mem.malloc=15694772i,mem.othersys=791682i,mem.stack.inuse=31424512i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=1326272i,mem.stack.mspan_sys=1338240i,mem.stack.sys=31424512i,mem.sys=657535384i,mem.total=595945360i 1660162970452367666]
....................................................................................................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=13979i,mem.alloc=624897136i,mem.frees=17191976i,mem.gc.count=1i,mem.gc.cpu_fraction=0.023670502455192977,mem.gc.last=1660162810439529122i,mem.gc.next=1049329776i,mem.gc.pause=11295i,mem.gc.pause_total=11295i,mem.gc.sys=25319248i,mem.heap.alloc=624897136i,mem.heap.idle=1302528i,mem.heap.inuse=625745920i,mem.heap.objects=5779302i,mem.heap.released=1302528i,mem.heap.sys=627048448i,mem.lookups=0i,mem.malloc=22971278i,mem.othersys=863002i,mem.stack.inuse=31424512i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=1804992i,mem.stack.mspan_sys=1811520i,mem.stack.sys=31424512i,mem.sys=687927704i,mem.total=625059992i 1660162980455356608]
.............................................................................................................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=13714i,mem.alloc=634434968i,mem.frees=18978731i,mem.gc.count=1i,mem.gc.cpu_fraction=0.023670502455192977,mem.gc.last=1660162810439529122i,mem.gc.next=1049329776i,mem.gc.pause=11295i,mem.gc.pause_total=11295i,mem.gc.sys=25462680i,mem.heap.alloc=634434968i,mem.heap.idle=163840i,mem.heap.inuse=635273216i,mem.heap.objects=6374924i,mem.heap.released=163840i,mem.heap.sys=635437056i,mem.lookups=0i,mem.malloc=25353655i,mem.othersys=949586i,mem.stack.inuse=31424512i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=1961664i,mem.stack.mspan_sys=1974720i,mem.stack.sys=31424512i,mem.sys=696709528i,mem.total=634597824i 1660162990452862719]
...........................................................................................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=13712i,mem.alloc=636368720i,mem.frees=19339615i,mem.gc.count=1i,mem.gc.cpu_fraction=0.023670502455192977,mem.gc.last=1660162810439529122i,mem.gc.next=1049329776i,mem.gc.pause=11295i,mem.gc.pause_total=11295i,mem.gc.sys=25462680i,mem.heap.alloc=636368720i,mem.heap.idle=2424832i,mem.heap.inuse=637206528i,mem.heap.objects=6495257i,mem.heap.released=2424832i,mem.heap.sys=639631360i,mem.lookups=0i,mem.malloc=25834872i,mem.othersys=916946i,mem.stack.inuse=31424512i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=1996480i,mem.stack.mspan_sys=2007360i,mem.stack.sys=31424512i,mem.sys=700903832i,mem.total=636531576i 1660163000449219257]
....................................................................................................[go.runtime.ubuntu,go.arch=amd64,go.os=linux,go.version=go1.18.3 cpu.cgo_calls=1i,cpu.count=8i,cpu.goroutines=13712i,mem.alloc=638113544i,mem.frees=19665181i,mem.gc.count=1i,mem.gc.cpu_fraction=0.023670502455192977,mem.gc.last=1660162810439529122i,mem.gc.next=1049329776i,mem.gc.pause=11295i,mem.gc.pause_total=11295i,mem.gc.sys=25532336i,mem.heap.alloc=638113544i,mem.heap.idle=688128i,mem.heap.inuse=638943232i,mem.heap.objects=6603816i,mem.heap.released=688128i,mem.heap.sys=639631360i,mem.lookups=0i,mem.malloc=26268997i,mem.othersys=896506i,mem.stack.inuse=31424512i,mem.stack.mcache_inuse=1200i,mem.stack.mcache_sys=15600i,mem.stack.mspan_inuse=2022592i,mem.stack.mspan_sys=2023680i,mem.stack.sys=31424512i,mem.sys=700969368i,mem.total=638276400i 1660163010456032861]
